timestamp,egg_id,x1,y1,x2,y2,confidence,class,diameter_px,diameter_mm,size_category,weight_g
2026-04-13T14:19:37.629391,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.663995,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.664156,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.696562,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.696641,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.731260,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.731336,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.763935,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.764046,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.797841,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.797985,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.831142,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.831308,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.862901,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.862965,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.896977,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.897123,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.932461,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.932637,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.962755,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.962826,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.998155,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.998297,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:38.028803,1,796,4,1278,710,0.7915,egg,706,706.0,Large,80
2026-04-13T14:19:38.028866,2,2,0,742,582,0.8742,egg,740,740.0,Large,80
